Word,Meaning
quake,tërmet
quaked,tundur
quakes,tund
quaking,duke tundur
qualification,kualifikim
qualifications,kualifikimet
qualified,i kualifikuar
qualifies,kualifikon
qualify,kualifikoj
qualifying,duke kualifikuar
qualitative,cilësor
qualities,cilësitë
quality,cilësi
qualm,qetësoj
qualmish,i dyshimtë
quandaries,"dyshimet, hezitimet, pasiguritë"
quandary,"dyshim, hezitim, pasiguri"
quanta,sasi
quantify,përcaktoj
quantitative,sasior
quantitatively,në mënyrë sasiore
quantities,sasitë
quantity,sasi
quantum,"shumë, sasi"
quarantine,"izolim, bllokim, izoloj, bllokoj"
quarantined,izoloar
quarrel,grindje
quarreled,grindur
quarreling,duke u grindur
quarrelled,///
quarreller,///
quarrelling,///
quarrelous,///
quarrels,///
quarrelsome,///
quarries,///
quarry,///
quart,///
quarter,"1. district, lagje, 2. tremujor"
"quarter,  district",lagje
quartered,///
quarterfinals,çerekfinalet
quartering,///
quartern,///
quarters,"lagje, banesa"
quartet,kuartet
quarts,///
quash,"shtrydh, shtyp"
quashed,"shtypur, anulluar"
quasi,///
quat,///
quatch,///
quater,///
quay,///
que,///
quean,///
queas,///
queasiness,///
queasy,"i sëmurë, i shqetësuar"
queen,///
queens,///
queer,///
quell,"shpërndaj, qetësoj"
queller,///
quelling,"duke shtypur, duke qetësuar"
quells,qetëson
quem,///
quench,///
quenched,///
quenching,///
quenchless,///
queried,///
queries,"pyetjet, kërkimet"
quern,///
query,"pyes, kërkoj"
querying,"duke pyetur, duke shqyrtuar, duke hetuar"
quest,kërkim
questant,///
question,e. pyetje; çështje; problem; dyshim; f. pyes; investigoj
questionable,i dyshimtë
questioned,"pyetur, dyshuar"
questioner,pyetësor
questiones,pyetësorët
questioning,duke pyetur
questionless,i pa diskutueshëm
questionnaire,pyetësor
questionnaires,pyetësorët
questions,pyetje
questrist,kërkues
questrists,kërkuesa
quests,kërkim; kërkoj
queubus,///
queue,"rrjesht, kolonë, radhë"
qui,///
quibble,///
quibbling,///
quibus,///
quick,"shpejt, papritur"
quicken,///
quickened,///
quickening,///
quickens,///
quicker,më shpejt
quickest,më i shpejti
quicklier,///
quickly,shpejt
quickness,///
quicksand,///
quicksilver,///
quid,///
quiddit,///
quiddities,///
quiddity,///
quidebet,///
quies,///
quiet,i qetë
quieted,///
quieter,///
quietly,qetësisht
quietness,///
quietus,///
quill,///
quillet,///
quillets,///
quills,///
quilt,mbulesë
quilts,///
quinapalus,///
quince,///
quinces,///
quintain,///
quintessence,///
quintus,///
quip,///
quips,///
quire,///
quired,///
quiring,///
quirk,"kapriçio, ekstravagancë, zakon, stil"
quirks,"kapriçiot, ekstravagancat, zakonet, stilet"
quis,///
quit,"lë, largohem, ndaloj"
quitance,///
quite,krejt
quits,"largohet, i barabartë"
quittal,///
quittance,///
quitted,///
quitting,"duke u larguar, duke braktisur"
quiver,///
quivering,///
quivers,///
quo,///
quoad,///
quod,///
quodam,///
quodlibet,///
quods,///
quoif,///
quoifs,///
quoint,///
quoit,///
quoits,///
quondam,///
quoniam,///
quoque,///
quorum,///
quotation,citim
quote,"thonjëza, citoj"
quoted,cituar
quotes,///
quoth,///
quotidian,///
quoting,duke cituar
r,shkronjë e alfabetit anglez
rabbi,"mësues çifut, udhëheqës fetar çifut"
rabbit,lepur
rabbits,lepuj
rabble,turmë
rabblement,///
race,"vrapoj, bëj garë"
racer,konkurues
races,garat
racial,racor
racing,duke bërë garë
rack,"raft, torturoj"
racked,"rrënua, was racked = u rrënua"
rackers,///
racket,///
rackets,///
racking,///
racks,///
rad,///
radar,radar
radiance,///
radians,///
radiant,///
radiating,///
radiation,radiacion
radical,"radical, rrënjësor"
radically,në mënyrë rrënjësore
radii,///
radio,radio
radioactive,radioactiv
radish,///
radius,rrezja( e rrethit)
radiusratio,///
raft,///
rafters,///
rag,///
ragamuffin,///
ragamuffins,///
rage,"inat, nxehje, urrejtje, acarohem"
raged,egërsuar
rages,///
rageth,///
ragg,///
ragged,///
raggedness,///
raging,duke u shqetësuar
ragosa,///
ragosine,///
ragozine,///
rags,///
ragusa,///
rah,///
raid,e. sulm; inkursion; f. sulmoj
raided,sulmuar
rail,"pengesë, barierë, hekurudhë, shtrij shinat, dërgoj me tren, rrethoj me gardh"
railed,///
railer,///
railest,///
raileth,///
railing,duke shtruar shinat; duke penguar
raillery,///
rails,///
railway,hekurudhë
raiment,///
rain,1. shi; 2. bie shi
rainbow,///
rainbows,///
raindrops,///
rained,///
raineth,///
raining,///
rainold,///
rains,///
rainy,///
raise,"mbledh, ngre"
raise money,mbledh para
raised,ngritur
raises,ngre
raisin,///
raising,duke ngritur
raisins,///
rake,///
raked,///
rakers,///
rakes,///
raking,///
rallied,bashkuar
rallies,"bashkon, grumbullon"
rallying,duke bashkuar
ram,dash
rambles,shëtit
rambling,duke shëtitur
rammed,///
ramp,///
rampallion,///
rampant,i shfrenuar
ramparts,///
ramped,kërcënuar
ramping,///
rampion,///
rampired,///
ramps,///
rams,///
ramsey,///
ramston,///
ran,"drejtoj, aktivizoj, plotësoj"
rancorous,///
rancour,///
rancours,///
randall,///
random,i rastit
randy,///
rang,"telefonuar, rrethuar"
range,rreze; arritje; qëllim
ranged,shtrihet
ranger,1. roje pyjesh 2. trupa speciale 3. udhërëfyes
rangers,1. roje pyjesh 2. trupa speciale 3. udhërëfyes
ranges,///
ranging,duke arritur
rank,///
ranked,///
ranker,///
rankest,///
ranking,///
rankle,///
rankly,///
rankness,///
ranks,"pozitat, rangjet"
ransack,"robëroj, vjedh"
ransacked,plaçkitur
ransacking,"duke robëruar, duke plaçkitur"
ransom,"çmim për lirim nga burgu, lirim"
ransomed,liruar
ransoming,duke liruar
ransoms,liron
rant,flas me zë të lartë
ranting,duke folur me zë të lartë
rap,"trokitje, trokas"
rape,përdhunim
raped,përdhunuar
rapes,përdhunon
rapid,i/e shpejtë
rapidity,shpejtësi
rapidly,shpejt
rapier,shpatë
rapiers,shpatat
rapine,vjedhje
raps,"trokitjet, troket"
rapt,zhytur
rapture,entuziazëm
raptures,entuziazëmet
rapturous,i gëzuar
rare,i/e rrallë
rarefaction,rallim
rarely,"në mënyrë të rrallë, jo të shpeshtë"
rareness,"rallësi, mungesë"
rarer,më i rallë
rarest,më i ralli
rarities,mungesat
rarity,"rallësi, mungesë"
rascal,"skandaloz, parazitë"
rascally,në mënyrë skandaloze
rascals,parazitët
rash,///
rasher,///
rashly,///
rashness,///
raspberry,///
rat,"1. mi 2. tradhtar 3. tradhëtoj, thyej premtimin"
ratcliff,///
rate,"numër, shpejtësi, vlerësim"
rated,vlerësuar
rates,"tarifat, pagesat"
rath,///
rather,"krejt, deri në një farë shkalle"
ratherest,///
ratification,ratifikim
ratified,///
ratifiers,///
ratify,aprovoj
rating,"duke i vlerësuar, vlerësim"
ratio,///
ratiocinantes,///
ratiocinantis,///
ratiocinatae,///
ratiocinati,///
ratiocinatio,///
ratiocination,///
ratiocinative,///
ration,racion
rational,"racional, llogjik, i arësyeshëm"
rationalis,///
rationalist,racionalist
rationalistic,///
rationis,///
rations,racionet
ratios,///
ratisbon,///
rato,///
ratolorum,///
rats,"1. minjtë, 2. tradhtarët, 3. budallallëk"
ratsbane,///
rattle,///
rattled,goditur
rattles,///
rattling,"duke trokitur, duke goditur"
raught,///
ravage,///
ravaged,"shkatëruar, robëruar"
ravages,///
ravaging,duke shkatëruar
rave,flet i irrituar
raved,///
ravel,///
ravell,///
raven,///
ravening,///
ravenoualy,///
ravenous,///
ravens,///
ravenspurgh,///
raves,///
ravin,///
ravine,///
raving,///
ravish,///
ravished,///
ravisher,///
ravishing,///
ravishment,///
ravishments,///
raw,///
rawer,///
rawly,///
rawness,///
ray,rreze
rayed,///
raying,///
rays,///
raze,///
razed,///
razeth,///
razing,///
razor,///
razorable,///
razors,///
razure,///
re,///
reach,arrij
reached,arritur
reaches,"arrin, shtrihet"
reacheth,///
reaching,duke arritur
reacquainted,rinjohur
react,///
reacted,përgjigjur
reacting,"duke reaguar, duke u përgjigjur"
reaction,"përgjigje, reaksion"
reactions,reaksionet
reactor,reaktor
reactors,///
reactortype,///
reacts,///
read,lexoj
readable,///
reader,lexues
readers,lexuesit
readiest,///
readily,"me kënaqësi, me dëshirë"
readiness,gadishmëri
reading,duke lexuar
readins,///
readonly,///
reads,///
ready,gati
reaffirming,duke rikonfirmuar
reaffirms,riafirmon
real,"mb. i verteta; autentik; aktual; adv. ndershmërisht, sinqerisht; e. realitet; aktualitet"
reale,///
realisation,realizim
realise,mendoj
realised,kuptuar
realises,"kupton, mendon"
realising,duke menduar
realism,realizëm
realissima,///
realissimum,///
realist,///
realistic,"realiste, praktike"
realitas,///
realitates,///
realitatis,///
realities,realitetet
reality,realitet
realization,realizimi
realize,kuptoj; imagjinoj; realizoj; zbatoj; aktualizoj; plotësoj
realized,"kuptuar, kuptova"
realizes,kupton
realizing,///
really,me të vërtetë
realm,"realitet, mbretëri, botë"
realms,realitetet
reap,///
reaped,///
reapers,///
reaping,///
reappearance,///
reappointed,"riemëruar, ricaktuar"
reappointment,"riemërim, ricaktim"
reaps,///
rear,"prapa, pas, fund"
reared,///
rearranged,///
rearrangement,"rregullim i ri, formacion i ri"
rearranges,///
rears,///
rearward,///
reason,arësye
reasonable,i/e arësyeshëm
reasonableness,///
reasonably,në mënyrë të arësyeshme
reasoned,1/e arësyeshëm
reasoner,///
reasoners,///
reasoning,duke arësyetuar
reasonings,///
reasonless,///
reasons,"arësyet, shkaqet"
reassertion,"rivlerësim, rikonfirmim"
reassure,"siguroj, inkurajoj"
reassured,risiguruar
reave,///
reaves,///
rebate,///
rebeck,///
rebel,e. rebel; kryengritës; f. rebeloj; ngrihem; ngrej krye
rebell,///
rebelling,///
rebellion,"revoltë, kryengritje"
rebellious,"rebelues, kryengritës"
rebels,rebelët
rebound,rilidh
rebounded,rikthyer
rebuff,"mohim. refuzim mohoj, refuzoj"
rebuffed,mohuar
rebuild,rindërtoj
rebuilding,duke rindërtuar
rebuke,akuzoj; akuzë
rebukeable,i akuzueshëm
rebuked,akuzuar
rebukes,akuzon
rebused,///
rebutting,duke kundërshtuar
recalibrate,"koordinoj, planifikoj"
recall,///
recalled,///
recalling,///
recalls,///
recant,///
recantation,///
recanter,///
recanting,///
recapitulate,///
recapitulation,///
recaptured,rikapur
recede,///
receded,///
receding,duke u tërhequr
receipt,///
receipts,///
receive,merr
received,"arritur, marrë"
receiver,///
receives,merr
receivest,///
receiveth,///
receiving,duke marrë
recent,i kohëve të fundit
recently,kohët e fundit
receptacle,"mbajtëse, enë"
receptacles,///
reception,"pritje, recepsion"
receptive,///
receptivity,///
recess,pushim
recesses,///
recession,"kthesë, ecje e ekonomisë me ngadalë"
recheat,///
recious,///
recipient,///
recipients,marrës-i/ja
reciprocal,reciproke
reciprocally,///
reciprocate,"bëj të njëjtën gjë, shpërblej me të njëjtin çmim"
reciprocity,///
recital,recital
recitation,recitim
recite,///
recited,recituar
reciterai,///
reciting,///
reck,///
recketh,///
recking,///
reckless,impulsiv; papërgjegjësi
reckon,///
reckoned,///
reckoning,"duke llogaritur, duke gjykuar, duke vlerësuar day of reckoning = dita e gjykimit"
reckonings,///
reckons,///
recks,///
reclaim,kërkoj
reclaims,///
reclamation,///
reclined,///
recluse,i vetmuar
reclusive,"vetëm, i isoluar"
recognise,"njoh, identifikoj"
recognised,njohur
recognises,njeh
recognising,///
recognition,njohje
recognizable,"i njohshëm, i dallueshëm"
recognizance,///
recognizances,///
recognize,///
recognized,"njohu, njohur"
recognizes,"njeh, pranon"
recognizing,duke njohur
recoil,///
recoiled,///
recoiling,///
recollect,///
recollected,///
recollection,///
recombination,rikombinim
recomforted,///
recomforture,///
recommenced,///
recommencing,///
recommend,rekomandoj
recommendation,///
recommendations,rekomandimet
recommended,rekomanduar
recommending,///
recommends,"rekomandon, sugjeron"
recompense,///
recompensed,///
recompile,///
reconcile,pajtoj
reconcileable,///
reconciled,///
reconcilement,///
reconciler,///
reconciles,///
reconciliation,pajtim
reconciling,///
recondite,i thellë. i fshehtë
reconnaissance,"rekonoshencë, njohje paraprake"
reconstructing,duke rindërtuar
reconstruction,rindërtim
reconverted,///
recopied,rekopjoj
record,"kujtesë, list, regjistroj"
recordation,///
recorded,regjistruar
recorder,e. inçizues; rregjistrues
recorders,"manjetofonët, regjistruesit"
recording,duke inçizuar
records,"regjistrimet, rekordet, shënimet"
recordset,///
recount,///
recounted,ritreguar
recounting,///
recountments,///
recounts,///
recourse,///
recover,"përmirësoj, rikuperoj"
recoverable,///
recovered,rekuperuar
recoveries,///
recovering,///
recovers,///
recovery,e. shërim; përtëritje
recreant,///
recreants,///
recreate,///
recreation,e. çlodhje; dëfrim
recreational,rikrijuese
recrimination,ndryshim i akuzuesit
recrossed,///
recruit,e. rekrut; f. rekrutoj; regjistroj
recruited,rekrutuar
recruiters,rekrutuesit
recruits,///
rectangle,///
rectangular,drejtëkëndësh
rectification,///
rectified,ratifikuar
rectify,"korrigjoj, pastroj"
rectilineal,///
rectilinear,///
rectitude,///
rector,///
rectorship,///
recumbent,///
recuperate,"rikuperoj, ripsroj, shëroj"
recur,"përsëritet, kthehet"
recure,///
recured,///
recures,///
recurs,///
recursion,///
recursive,///
red,i/e kuq
red card,"kartelë e kuqe, karton i kuq (përjashtim nga loja)"
redbreast,///
reddening,///
redder,///
reddest,///
reddish,i skuqur
rede,///
redeem,paguaj
redeemed,///
redeemer,shpëtimtar
redeeming,///
redeems,///
redefine,///
redeliver,///
redemption,shpëtimi
redime,///
redistricting,duke rindarë në distrikte
redness,///
redo,///
redoubled,ridyfishuar. shumëfishuar
redoubt,fortifikatë
redoubted,///
redoubts,fortifikatat
redound,///
redraw,riskicoj
redress,///
redresses,///
redskin,///
reduce,zvogëloj
reduced,pakësuar
reduces,///
reducible,///
reducing,duke pakësuar
reduction,zvogëlim
reductions,reduktimet
redundant,"i tejkaluar, i bollshëm, i panevojshëm, ekstra"
reechy,///
reed,///
reeds,///
reedy,///
reef,///
reek,///
reeked,///
reeking,///
reeks,///
reeky,///
reel,///
reelection,zgjedhjet e reja
reeled,///
reeleth,///
reeling,///
reels,///
reenter,///
reentry,rihyrje
reexamine,rishqyrtoj
ref,///
refell,///
refer,///
referable,///
reference,"referim, citim"
referenced,///
references,referimet
referencing,///
referr,///
referred,referuar
referring,duke ju referuar
refers,///
refigured,///
refined,duke rifinancuar
refineries,rafineritë
refiners,rafineritë
refining,"duke pastruar, duke distiluar"
reflect,"pasqyroj, shpreh, mendoj"
reflected,reflektuar
reflecting,duke reflektuar
reflection,"reflektim, pamje"
reflections,"pasqyrimet, mendimet, akuzat"
reflective,///
reflects,pasqyron
reflex,///
reflexio,///
reflexion,///
reform,"reformë, ndryshoj, rregulloj"
reformation,///
reformed,reformuar
reforms,///
refractory,///
refrain,përsëris; përsëritje ndaloj
refrained,///
refraining,///
refresh,///
refreshed,///
refreshing,///
refrigerator,///
reft,///
refuelling,rifurnizim me karburant
refuge,strehë
refugee,refugjat
refugees,refugjatët
refusal,refuzim
refuse,plehra
refused,refuzuar
refuses,refuzon
refusest,///
refusing,duke refuzuar
refutation,///
refutations,///
refute,kundërshtoj
refuted,refuzuar
refutes,///
refuting,duke refuzuar
reg,///
regain,rimarr
regained,"rigjeneruar, rimarrë"
regaining,duke marrë
regal,///
regale,///
regalia,///
regan,///
regard,///
regardance,///
regarded,"llogaritur, shfaqur"
regardfully,///
regarding,në lidhje me
regardless,pavarësisht
regards,"1. shikon, 2. vlerësim, respekt, përshëndetje"
regdump,///
regen,///
regenerate,///
regent,///
regentship,///
regget,///
regia,///
regime,regjim
regiment,regjiment
regiments,///
regimes,regjimet
regina,///
reginer,///
region,rajon
regional,rajonal-e
regions,rajonet
register,///
registered,regjistruar
registering,duke regjistruar
registers,///
registration,///
registry,///
regkey,///
regnum,///
regreet,///
regreets,///
regress,///
regression,///
regressive,///
regressively,///
regressus,///
regret,keqardhje
regrets,vjen keq
regrettable,për të ardhur keq
regrettably,në mënyrë keqardhëse
regretted,vjen keq
regretting,duke ardhur keq
regroot,///
regrouping,duke rigrupuar
regset,///
regsvr32,///
reguerdon,///
regular,i rregullt
regularity,///
regularly,rregullisht
regulate,regulloj
regulated,regulluar
regulates,regullon
regulating,duke rregulluar
regulation,rregulli
regulative,regullues
regulators,rregullatorët
regulatory,regullues
rehabilitation,rehabilitim
rehear,"ridëgjoj, rishqyrtoj"
rehearsal,"provë, praktikë"
rehearse,///
rehearsed,///
reign,"sundim, sundoj"
reigned,"sunduar, mbretëruar"
reignier,///
reigning,///
reigns,"sundon, kontrollon"
rein,"sundim, kontroll free rein = çek i bardhë"
reined,///
reinforce,përforcojmë
reinforced,përforcuar
reinforcement,///
reinforcements,përforcimet
reinforcing,duke përforcuar
reining,"duke kontrolluar, duke kufizuar"
reins,///
reinstallation,///
reinstalling,///
reinvent,///
reiterate,përsëris
reiterated,përsëritur
reiterates,përsërit
reiteration,përsëritje
reject,"mohoj, refuzoj"
rejected,mohuar; refuzuar
rejecting,duke mohuar
rejection,mohim
rejects,"mohon, kundërshton"
rejoice,"lumturohem, jam i lumtur"
rejoiced,gëzohet
rejoices,///
rejoiceth,///
rejoicing,///
rejoicingly,///
rejoicings,///
rejoin,ribashkoj
rejoindure,///
rejoined,///
rejourn,///
rejuvenate,rinovoj
rejuvenated,"rinuar, rinovuar"
rekindle,rindez
relapse,bie përsëri
relapses,"kthimet, kthehet"
relate,lidh
related,lidhur
relater,///
relates,"tregon, lidh"
relating,i shoqërueshëm
relation,"lidhje, marrëdhënie"
relational,"e lidhjes, proporcionale"
relations,marrëdhëniet
relationship,marrëdhënie
relationships,"marrëdhëniet, lidhjet"
relativa,///
relative,i afërt
relatively,relativisht
relatives,të afërm
relax,pushoj
relaxation,///
relaxed,qetësuar
relaxing,duke pushuar
release,lëshoj
released,liruan
releases,///
releasing,duke lëshuar
relegated,caktuar më poshtë
relent,///
relented,"lëshuar, lejuar"
relenteth,///
relenting,///
relentless,"i/e egër, papushim"
relentlessly,në mënyrë rigoroze
relents,///
relevance,lidhje
relevant,"rilevante, i/e lidhur, i/e shqetësuar"
reliability,besueshmëri
reliable,i besueshëm
reliance,"vartësi, besim"
reliances,///
relics,///
relied,mbështetur
relief,lehtësim
relier,///
relies,"varet, mbështetet"
relieve,///
relieved,lehtësuar
relieves,///
relieveth,///
relieving,///
religion,fe
religionist,fetar
religions,fetë
religious,fetar
religiously,në mënyrë fetare
relinquish,"jap, dorëzoj"
relinquished,///
relinquishing,///
reliques,///
reliquit,///
relish,///
relished,///
reload,///
reloading,///
reloads,///
relocated,rivendosur
reluctance,hezitim
reluctant,hezitues
relume,///
rely,mbështetem
relying,duke u mbështetur
remain,"mbes, qëndroj"
remainder,///
remainders,///
remained,mbetur
remaineth,///
remaining,duke mbetur
remains,1. qëndron 2. mbetjet
remaking,duke ribërë
remans,///
remark,///
remarkable,i jashtëzakonëshëm
remarkably,///
remarked,komentuar
remarking,///
remarks,komentet
remedial,riparuese
remediate,///
remedied,///
remedies,///
remedy,"shërim, ilaç"
remember,kujtoj
remembered,kujtuar
rememberest,///
remembering,///
remembers,///
remembrance,///
remembrancer,///
remembrances,///
remercimens,///
remind,///
reminded,kujtuar
reminder,///
reminds,kujton
reminiscence,///
reminiscent,i/e ngjashme
remiss,///
remissio,///
remission,///
remissness,///
remit,///
remnant,///
remnants,mbeturinat
remonstrance,///
remonstrated,///
remorse,keqardhje
remorseful,///
remorseless,///
remote,"remotë, e ndarë,"
remotely,në distancë
remoteness,"distancim, largim"
remotion,///
removal,heqje
remove,"heq, lëviz"
removed,"lëvizur, hequr"
removedness,///
remover,///
removes,///
removing,duke hequr
remunerate,///
remuneration,///
rename,///
renamed,ri emërtuar
renameprofile,///
renames,///
rend,///
render,///
rendered,transformuar
rendering,///
renders,///
rendezvous,///
rendition,interpretim
rends,///
renegado,///
renege,///
reneges,///
renew,///
renewal,rinovim
renewed,"rifilluar, rinovuar"
renewest,///
renewing,duke rinovuar
renews,rinovon
renounce,braktis
renounced,braktisur
renouncement,///
renounces,///
renouncing,duke hequr dorë
renovate,///
renown,///
renowned,i mirënjohur
renowns,///
rent,marr me qira
rents,///
renunciation,braktisje
renying,///
reoccur,rindodh
reopen,rihap
reopened,rihapur
reopening,duke rihapur
reorganization,e. riorganizimi
repaid,///
repair,riparoj
repaired,///
repairing,duke riparuar
repairs,riparimet
repartee,///
repass,///
repassed,///
repast,///
repasture,///
repay,ripaguaj
repaying,///
repays,///
repeal,anulloj
repealing,duke anulluar
repeals,///
repeat,përsëris
repeated,përsëritur
repeatedly,në mënyrë të përsëritur
repeater,///
repeating,duke përsëritur
repeats,///
repel,///
repels,"largohet, hidhet, mohon"
repent,///
repentance,///
repentant,///
repented,ardhur keq
repentent,///
repenting,///
repents,///
repetition,përsëritje
repetitions,përsëritjet
repetitive,përsëritës
repine,///
repined,///
repining,///
replace,zëvëndësoj
replaced,zëvëndësuar
replacement,zëvendësim
replaces,///
replacing,duke zëvendësuar
replant,///
replay,ripërsëritje
replenish,///
replenished,///
replete,///
repleted,///
replicas,duplikimet
replicate,duplikoj
replication,///
replied,përgjigjur
replies,///
repliest,///
reply,///
replying,duke u përgjigjur
report,e. raport; lajme; njoftim; proçesverbal; f. jap llogari; raportoj; kallëzoj; denoncoj
reported,raportuar
reportedly,raportuar
reporter,reporter
reporters,reporterët
reportest,///
reporting,duke raportuar
reportingly,///
reports,"raporton, raportet"
reposal,///
repose,///
reposed,///
reposeth,///
reposing,///
repositories,"muzetë, depozitat"
repository,rezervuar
repossess,///
reprehend,///
reprehended,///
reprehending,///
reprehends,///
reprehensible,e dënueshme
represent,përfaqësoj
representable,///
representation,përfaqësim
representations,///
representative,përfaqësues
representatives,përfaqësuesit
represented,përfaqësuar
representing,duke përfaqësuar
represents,përfaqëson
repress,///
repression,shtypje
repressive,shtypës
reprieve,///
reprieves,///
reprimanded,///
reprisal,///
reprisals,raprezaljet
reproach,akuzoj; akuzë
reproached,///
reproaches,///
reproachful,///
reproachfully,///
reprobate,///
reprobation,///
reprocess,rifilloj
reprocessing,"duke riprodhuar, riprodhim"
reproduce,riprodhoj
reproduced,///
reproduction,///
reproductive,///
reproof,///
reprovable,///
reprove,///
reproved,///
reproves,///
reprovest,///
reproving,///
republic,///
republican,e. republikan
republished,ribotuar
repugn,///
repugnance,///
repugnancy,kontradiktë
repugnant,///
repulse,///
repulsed,///
repulsion,///
repulsive,///
repured,///
reputable,///
reputans,///
reputation,"nam, nder"
repute,///
reputed,///
reputeless,///
reputes,///
reputing,///
request,kërkesë
requested,kërkuar
requesting,///
requests,kërkesat
requiem,///
require,kërkoj
required,kërkuar
requirement,"kërkesë, nevojë"
requirements,kërkesat
requires,kërkon
requireth,///
requiring,duke kërkuar
requisita,///
requisite,nevojë
requisites,///
requit,///
requital,///
requite,///
requited,///
requites,///
rere,///
rerum,///
rescinded,anulluar
rescue,"shpëtoj, shpëtim"
rescued,"shpëtuar, liruar"
rescuer,///
rescuers,"shpëtuesit, skuadrat e shpëtimit"
rescues,///
rescuing,duke shpëtuar
research,kërkim
researcher,"kërkues, studjues"
researchers,"kërkuesit, studjuesit"
researches,kërkimet
resemblance,ngjashmëri
resemblances,///
resemble,///
resembled,///
resembles,///
resembleth,///
resembling,///
resent,///
resentment,ofendim
reservation,"rezervim, ruajtje"
reserve,///
reserved,rezervuar
reserves,"ruan, rezervat"
reservoir,rezervuar
reservoirs,rezervuarët
reset,///
reshuffle,rirregullim personeli
reside,"banoj, jetoj"
residence,vendbanim
residences,vendbanimet
resident,e. banor
resident alien,banor legal por jo shtetas
residential,banues
residents,banorët
resides,///
residing,duke banuar
residual,"i mbetur, i lënë,"
residuary,///
residue,///
resign,"jap dorëheqjen, largohem"
resignation,dorëheqje
resigned,ka dhënë dorëheqjen
resigns,jep dorëheqje
resist,rezistoj
resistance,qëndresë
resistant,"rezistues, kundërshtues"
resisted,"rezistuar, kundërshtuar"
resisteth,///
resisting,duke i rezistuar
resists,///
resize,///
resolute,i vendosur
resolutely,///
resolutes,///
resolution,rezolutë
resolutions,rezolutat
resolve,1. zgjidh 2. vendosmëri
resolved,zgjidhur
resolvedly,///
resolves,vendos
resolveth,///
resolving,duke zgjidhur sqaruar; sqarim; ndarje
resonance,rezonancë
resort,1. vend pushimi 2. përdorim
resorted,"zbatuar, përdorur"
resorters,///
resorting,///
resorts,///
resound,jehon
resounded,"jehuan, oshëtitën, u ridëgjuan"
resounding,///
resounds,///
resource,burim
resources,burimet
respect,respektoj
respectability,///
respectable,///
respected,"i respektuar, i nderuar"
respectful,i respektueshëm
respectfully,"nder,respect"
respecting,///
respective,respektive
respectively,në mënyrë respektive
respects,///
respice,///
respiratory,frymëmarrëse
respite,///
respites,///
respond,përgjigjem
responded,përgjigjur
responding,duke u përgjigjur
responds,përgjigjet
response,përgjigje
responsibilities,përgjegjësitë
responsibility,përgjegjësi
responsible,përgjegjës
responsive,përgjegjës
rest,mbetje
restart,rifilloj
restarted,rifilluar
restarting,duke rifilluar
restated,rideklaruar
restaurant,restorant
rested,pushuar
restem,///
resteth,///
restful,///
resting,duke pushuar
restitution,///
restive,"nervoz, i pabindur"
restless,///
restoration,"restaurim, rindërtim"
restorative,///
restoratives,///
restore,rivendos
restored,rikthyer
restores,kthen
restoring,duke vendosur
restrain,"kufizoj, ndaloj, shtyp"
restrained,///
restraining,duke kufizuar
restrains,///
restraint,"kontroll, kufizim"
restraints,///
restrict,kufizoj
restricted,kufizuar
restricting,duke kufizuar
restriction,///
restrictions,"kufizimet, rregullimet"
restrictive,///
restricts,///
restructuring,by restructuring = duke e ristrukturuar
rests,pushon
resty,///
resubmitted,ridërguar
result,rezultat
resultant,///
resulted,rezultuar
resulting,duke rezultuar
results,rezultatet
resume,"1. rezume, përmbledhje, 2. rifilloj"
resumed,"rifilluar, rifilluan"
resumes,rifillon
resuming,duke rifilluar
resurrected,rilindur
resurrection,rilindje
resurrections,///
retail,///
retailed,///
retailer,"rishitës, shitës"
retails,///
retain,mbaj
retained,mbajtur
retainers,///
retaining,"duke mbajtur, duke ruajtur"
retains,qëndron
retake,f. rimarr; rifilmoj; e. rifotografim
retaliate,f. hakmerrem; kundërpergjigjem; ripaguaj
retaliation,e. hakmarrje; represion; kundërgoditje;
retaliatory,hakmarrëse
retarded,///
retention,"mbrojtës, mbajtës, izolues"
retentive,///
reticent,i/e heshtur
retinue,///
retire,///
retired,"tërhequr, në pension"
retirees,pensionistët
retirement,"tërheqje, pension"
retires,///
retiring,///
retold,///
retort,///
retorted,///
retorts,///
retourne,///
retrace,///
retract,///
retreat,"tërheqje, nisje; tërhiqem, nisem"
retreated,tërhequr
retreating,duke u tërhequr
retribution,"hakmarrje, dënim"
retrieval,///
retrieve,///
retrieved,"tërhequr, ruajtur"
retrieves,///
retrieving,///
retrograde,///
retrogressively,///
retrun,///
return,kthej
returned,kthyer
returneth,///
returning,duke u kthyer
returns,"kthimet, kthen"
retval,///
retz,///
reuse,///
revamp,"rimodeloj, ndryshoj"
revamping,"rimodeloj, ndryshoj"
revania,///
reveal,tregoj
revealed,"treguar, zbuluar"
revealing,duke treguar
reveals,shfaq
revel,///
revelata,///
revelation,"zbulim, lindje, dalje"
revelations,zbulimet
revell,///
revelled,///
reveller,///
revellers,///
revelling,///
revelry,///
revels,///
revenge,hakmarrje
revenged,///
revengeful,///
revengement,///
revenger,///
revengers,///
revenges,///
revenging,///
revengingly,///
revenue,e ardhur
revenues,të ardhurat
reverb,///
reverberate,///
reverberated,"jehuan, oshëtitën"
reverberates,///
reverberating,duke bërë jehonë
reverbs,///
revered,"admiruar, respektuar"
reverence,admirim
reverenced,///
reverend,///
reverent,///
reverently,///
reverie,///
reveries,///
